14
0, 78, 443, 102, 64, 153, 471, 448, 237, 451, 903, 593, 873, 289
78, 0, 465, 118, 51, 87, 511, 500, 294, 487, 982, 656, 950, 307
443, 465, 0, 349, 495, 546, 865, 202, 616, 854, 920, 382, 815, 158
102, 118, 349, 0, 146, 204, 570, 386, 328, 551, 925, 551, 877, 192
64, 51, 495, 146, 0, 93, 459, 511, 246, 436, 953, 657, 929, 338
153, 87, 546, 204, 93, 0, 502, 587, 318, 475, 1045, 742, 1023, 388
471, 511, 865, 570, 459, 502, 0, 779, 250, 32, 816, 831, 875, 733
448, 500, 202, 386, 511, 587, 779, 0, 545, 775, 718, 190, 613, 255
237, 294, 616, 328, 246, 318, 250, 545, 0, 237, 769, 628, 780, 483
451, 487, 854, 551, 436, 475, 32, 775, 237, 0, 839, 834, 893, 718
903, 982, 920, 925, 953, 1045, 816, 718, 769, 839, 0, 568, 164, 919
593, 656, 382, 551, 657, 742, 831, 190, 628, 834, 568, 0, 442, 444
873, 950, 815, 877, 929, 1023, 875, 613, 780, 893, 164, 442, 0, 839
289, 307, 158, 192, 338, 388, 733, 255, 483, 718, 919, 444, 839, 0
