20
0, 723, 738, 224, 467, 143, 521, 483, 128, 762, 765, 454, 519, 109, 249, 217, 392, 227, 329, 804
723, 0, 175, 919, 751, 827, 393, 655, 833, 376, 179, 984, 530, 620, 695, 708, 574, 563, 959, 294
738, 175, 0, 905, 864, 817, 527, 551, 830, 203, 27, 917, 664, 629, 768, 773, 495, 540, 920, 470
224, 919, 905, 0, 652, 92, 746, 513, 96, 888, 932, 299, 739, 304, 445, 409, 465, 365, 138, 1025
467, 751, 864, 652, 0, 597, 366, 884, 569, 986, 885, 920, 242, 484, 218, 250, 769, 595, 781, 647
143, 827, 817, 92, 597, 0, 660, 456, 36, 808, 844, 325, 662, 213, 382, 348, 394, 277, 187, 935
521, 393, 527, 746, 366, 660, 0, 735, 649, 684, 544, 926, 138, 458, 374, 400, 619, 494, 837, 307
483, 655, 551, 513, 884, 456, 735, 0, 488, 442, 574, 392, 817, 412, 684, 664, 118, 289, 457, 890
128, 833, 830, 96, 569, 36, 649, 488, 0, 829, 858, 357, 644, 214, 356, 321, 421, 294, 212, 930
762, 376, 203, 888, 986, 808, 684, 442, 829, 0, 208, 833, 814, 655, 853, 850, 430, 539, 872, 670
765, 179, 27, 932, 885, 844, 544, 574, 858, 208, 0, 942, 682, 656, 792, 798, 520, 567, 947, 472
454, 984, 917, 299, 920, 325, 926, 392, 357, 833, 942, 0, 956, 474, 703, 670, 421, 444, 165, 1162
519, 530, 664, 739, 242, 662, 138, 817, 644, 814, 682, 956, 0, 483, 316, 349, 699, 550, 847, 405
109, 620, 629, 304, 484, 213, 458, 412, 214, 655, 656, 474, 483, 0, 274, 251, 308, 131, 379, 723
249, 695, 768, 445, 218, 382, 374, 684, 356, 853, 792, 703, 316, 274, 0, 35, 574, 395, 568, 681
217, 708, 773, 409, 250, 348, 400, 664, 321, 850, 798, 670, 349, 251, 35, 0, 556, 377, 534, 706
392, 574, 495, 465, 769, 394, 619, 118, 421, 430, 520, 421, 699, 308, 574, 556, 0, 179, 442, 789
227, 563, 540, 365, 595, 277, 494, 289, 294, 539, 567, 444, 550, 131, 395, 377, 179, 0, 396, 718
329, 959, 920, 138, 781, 187, 837, 457, 212, 872, 947, 165, 847, 379, 568, 534, 442, 396, 0, 1099
804, 294, 470, 1025, 647, 935, 307, 890, 930, 670, 472, 1162, 405, 723, 681, 706, 789, 718, 1099, 0
