12
0, 404, 752, 602, 51, 225, 197, 434, 238, 899, 507, 809
404, 0, 563, 480, 369, 421, 213, 274, 573, 495, 473, 635
752, 563, 0, 1042, 756, 572, 603, 331, 736, 658, 288, 73
602, 480, 1042, 0, 551, 769, 545, 746, 840, 733, 932, 1115
51, 369, 756, 551, 0, 257, 174, 430, 289, 864, 523, 815
225, 421, 572, 769, 257, 0, 235, 301, 180, 877, 299, 618
197, 213, 603, 545, 174, 235, 0, 272, 364, 705, 409, 668
434, 274, 331, 746, 430, 301, 272, 0, 481, 608, 203, 397
238, 573, 736, 840, 289, 180, 364, 481, 0, 1048, 451, 775
899, 495, 658, 733, 864, 877, 705, 608, 1048, 0, 780, 717
507, 473, 288, 932, 523, 299, 409, 203, 451, 780, 0, 324
809, 635, 73, 1115, 815, 618, 668, 397, 775, 717, 324, 0
