11
0, 272, 84, 669, 144, 456, 339, 549, 394, 702, 639
272, 0, 211, 703, 219, 184, 603, 670, 658, 585, 711
84, 211, 0, 720, 168, 392, 421, 618, 476, 710, 698
669, 703, 720, 0, 553, 788, 666, 231, 686, 375, 99
144, 219, 168, 553, 0, 390, 406, 471, 459, 558, 537
456, 184, 392, 788, 390, 0, 786, 801, 841, 577, 816
339, 603, 421, 666, 406, 786, 0, 456, 55, 862, 592
549, 670, 618, 231, 471, 801, 456, 0, 468, 550, 140
394, 658, 476, 686, 459, 841, 55, 468, 0, 900, 606
702, 585, 710, 375, 558, 577, 862, 550, 900, 0, 461
639, 711, 698, 99, 537, 816, 592, 140, 606, 461, 0
