25
0, 197, 346, 444, 527, 554, 914, 724, 889, 916, 989, 849, 952, 816, 427, 506, 984, 778, 728, 746, 431, 582, 351, 824, 582
197, 0, 155, 499, 628, 680, 836, 564, 959, 765, 1010, 714, 944, 724, 572, 527, 1000, 863, 612, 610, 457, 559, 458, 694, 751
346, 155, 0, 536, 689, 757, 746, 420, 982, 623, 992, 585, 907, 628, 667, 535, 979, 901, 499, 482, 476, 528, 535, 567, 861
444, 499, 536, 0, 170, 264, 596, 659, 459, 782, 547, 677, 527, 541, 256, 99, 544, 367, 536, 601, 76, 230, 143, 647, 451
527, 628, 689, 170, 0, 101, 713, 827, 371, 942, 535, 833, 562, 679, 169, 241, 540, 253, 694, 763, 246, 370, 176, 803, 313
554, 680, 757, 264, 101, 0, 812, 923, 397, 1042, 597, 934, 641, 780, 136, 342, 605, 271, 794, 863, 340, 471, 223, 903, 218
914, 836, 746, 596, 713, 812, 0, 461, 676, 397, 489, 297, 342, 121, 849, 497, 465, 702, 268, 335, 547, 368, 735, 282, 1027
724, 564, 420, 659, 827, 923, 461, 0, 979, 204, 880, 195, 750, 348, 889, 593, 859, 948, 206, 127, 583, 492, 744, 192, 1095
889, 959, 982, 459, 371, 397, 676, 979, 0, 1024, 257, 908, 372, 706, 525, 446, 276, 125, 792, 877, 507, 496, 540, 881, 575
916, 765, 623, 782, 942, 1042, 397, 204, 1024, 0, 875, 115, 732, 321, 1029, 700, 852, 1017, 248, 183, 710, 577, 888, 144, 1232
989, 1010, 992, 547, 535, 597, 489, 880, 257, 875, 0, 765, 148, 556, 704, 487, 25, 354, 676, 761, 561, 464, 669, 742, 801
849, 714, 585, 677, 833, 934, 297, 195, 908, 115, 765, 0, 623, 209, 928, 591, 742, 902, 140, 104, 606, 466, 790, 30, 1128
952, 944, 907, 527, 562, 641, 342, 750, 372, 732, 148, 623, 0, 415, 728, 447, 123, 440, 544, 627, 521, 385, 664, 601, 856
816, 724, 628, 541, 679, 780, 121, 348, 706, 321, 556, 209, 415, 0, 798, 445, 533, 711, 148, 221, 482, 312, 672, 186, 987
427, 572, 667, 256, 169, 136, 849, 889, 525, 1029, 704, 928, 728, 798, 0, 353, 709, 401, 787, 846, 322, 487, 145, 898, 206
506, 527, 535, 99, 241, 342, 497, 593, 446, 700, 487, 591, 447, 445, 353, 0, 480, 377, 452, 522, 75, 133, 240, 561, 543
984, 1000, 979, 544, 540, 605, 465, 859, 276, 852, 25, 742, 123, 533, 709, 480, 0, 369, 655, 740, 555, 451, 669, 719, 811
778, 863, 901, 367, 253, 271, 702, 948, 125, 1017, 354, 902, 440, 711, 401, 377, 369, 0, 776, 857, 425, 456, 427, 873, 453
728, 612, 499, 536, 694, 794, 268, 206, 792, 248, 676, 140, 544, 148, 787, 452, 655, 776, 0, 86, 465, 329, 649, 110, 988
746, 610, 482, 601, 763, 863, 335, 127, 877, 183, 761, 104, 627, 221, 846, 522, 740, 857, 86, 0, 528, 406, 705, 85, 1049
431, 457, 476, 76, 246, 340, 547, 583, 507, 710, 561, 606, 521, 482, 322, 75, 555, 425, 465, 528, 0, 179, 190, 576, 522
582, 559, 528, 230, 370, 471, 368, 492, 496, 577, 464, 466, 385, 312, 487, 133, 451, 456, 329, 406, 179, 0, 367, 435, 676
351, 458, 535, 143, 176, 223, 735, 744, 540, 888, 669, 790, 664, 672, 145, 240, 669, 427, 649, 705, 190, 367, 0, 760, 352
824, 694, 567, 647, 803, 903, 282, 192, 881, 144, 742, 30, 601, 186, 898, 561, 719, 873, 110, 85, 576, 435, 760, 0, 1098
582, 751, 861, 451, 313, 218, 1027, 1095, 575, 1232, 801, 1128, 856, 987, 206, 543, 811, 453, 988, 1049, 522, 676, 352, 1098, 0
