13
0, 759, 393, 794, 767, 764, 916, 560, 556, 693, 1092, 844, 804
759, 0, 414, 377, 728, 606, 256, 804, 524, 97, 534, 88, 82
393, 414, 0, 609, 782, 712, 632, 705, 522, 328, 872, 502, 480
794, 377, 609, 0, 392, 258, 240, 565, 299, 441, 298, 376, 317
767, 728, 782, 392, 0, 135, 632, 278, 260, 763, 580, 752, 689
764, 606, 712, 258, 135, 0, 497, 362, 210, 648, 460, 623, 561
916, 256, 632, 240, 632, 497, 0, 794, 513, 352, 280, 203, 174
560, 804, 705, 565, 278, 362, 794, 0, 286, 804, 818, 855, 792
556, 524, 522, 299, 260, 210, 513, 286, 0, 536, 584, 570, 507
693, 97, 328, 441, 763, 648, 352, 804, 536, 0, 626, 179, 178
1092, 534, 872, 298, 580, 460, 280, 818, 584, 626, 0, 483, 452
844, 88, 502, 376, 752, 623, 203, 855, 570, 179, 483, 0, 63
804, 82, 480, 317, 689, 561, 174, 792, 507, 178, 452, 63, 0
