15
0, 385, 941, 315, 676, 578, 165, 378, 180, 174, 83, 238, 65, 712, 226
385, 0, 650, 94, 291, 518, 369, 19, 244, 559, 467, 149, 448, 458, 307
941, 650, 0, 660, 496, 514, 996, 669, 761, 1098, 1001, 737, 1004, 233, 951
315, 94, 660, 0, 367, 451, 336, 101, 155, 488, 393, 80, 380, 447, 294
676, 291, 496, 367, 0, 625, 651, 300, 522, 850, 757, 438, 740, 403, 577
578, 518, 514, 451, 625, 0, 702, 534, 435, 690, 605, 487, 627, 314, 702
165, 369, 996, 336, 651, 702, 0, 355, 268, 265, 221, 258, 179, 779, 88
378, 19, 669, 101, 300, 534, 355, 0, 245, 551, 461, 145, 440, 477, 291
180, 244, 761, 155, 522, 435, 268, 245, 0, 346, 248, 105, 245, 533, 270
174, 559, 1098, 488, 850, 690, 265, 551, 346, 0, 98, 412, 110, 866, 351
83, 467, 1001, 393, 757, 605, 221, 461, 248, 98, 0, 319, 43, 769, 296
238, 149, 737, 80, 438, 487, 258, 145, 105, 412, 319, 0, 303, 520, 226
65, 448, 1004, 380, 740, 627, 179, 440, 245, 110, 43, 303, 0, 774, 256
712, 458, 233, 447, 403, 314, 779, 477, 533, 866, 769, 520, 774, 0, 742
226, 307, 951, 294, 577, 702, 88, 291, 270, 351, 296, 226, 256, 742, 0
