15
0, 180, 540, 85, 305, 528, 339, 565, 675, 720, 349, 564, 493, 444, 407
180, 0, 607, 227, 460, 599, 432, 746, 850, 841, 344, 729, 632, 552, 538
540, 607, 0, 613, 726, 17, 205, 728, 621, 316, 292, 873, 909, 160, 857
85, 227, 613, 0, 234, 600, 408, 532, 673, 767, 434, 502, 415, 503, 326
305, 460, 726, 234, 0, 710, 527, 352, 560, 788, 623, 270, 195, 582, 131
528, 599, 17, 600, 710, 0, 192, 710, 605, 309, 290, 856, 892, 143, 841
339, 432, 205, 408, 527, 192, 0, 588, 553, 412, 207, 701, 716, 122, 658
565, 746, 728, 532, 352, 710, 588, 0, 261, 639, 766, 217, 375, 568, 411
675, 850, 621, 673, 560, 605, 553, 261, 0, 434, 758, 478, 629, 480, 650
720, 841, 316, 767, 788, 309, 412, 639, 434, 0, 584, 836, 933, 290, 913
349, 344, 292, 434, 623, 290, 207, 766, 758, 584, 0, 844, 818, 312, 743
564, 729, 873, 502, 270, 856, 701, 217, 478, 836, 844, 0, 184, 714, 256
493, 632, 909, 415, 195, 892, 716, 375, 629, 933, 818, 184, 0, 758, 97
444, 552, 160, 503, 582, 143, 122, 568, 480, 290, 312, 714, 758, 0, 713
407, 538, 857, 326, 131, 841, 658, 411, 650, 913, 743, 256, 97, 713, 0
