14
0, 659, 1026, 146, 596, 797, 818, 756, 529, 516, 298, 1083, 792, 650
659, 0, 412, 520, 82, 425, 192, 682, 151, 174, 542, 439, 276, 221
1026, 412, 0, 879, 443, 377, 220, 713, 501, 586, 952, 113, 554, 386
146, 520, 879, 0, 454, 656, 673, 650, 385, 391, 287, 938, 679, 503
596, 82, 443, 454, 0, 382, 225, 612, 72, 163, 513, 487, 348, 166
797, 425, 377, 656, 382, 0, 332, 338, 385, 539, 834, 486, 690, 217
818, 192, 220, 673, 225, 332, 0, 651, 288, 365, 731, 265, 386, 218
756, 682, 713, 650, 612, 338, 651, 0, 576, 730, 909, 823, 958, 465
529, 151, 501, 385, 72, 385, 288, 576, 0, 158, 470, 553, 399, 170
516, 174, 586, 391, 163, 539, 365, 730, 158, 0, 368, 610, 295, 321
298, 542, 952, 287, 513, 834, 731, 909, 470, 368, 0, 979, 574, 635
1083, 439, 113, 938, 487, 486, 265, 823, 553, 610, 979, 0, 521, 465
792, 276, 554, 679, 348, 690, 386, 958, 399, 295, 574, 521, 0, 496
650, 221, 386, 503, 166, 217, 218, 465, 170, 321, 635, 465, 496, 0
