14
0, 109, 592, 253, 201, 1059, 503, 505, 492, 310, 715, 619, 583, 674
109, 0, 512, 351, 258, 957, 395, 477, 407, 281, 712, 518, 505, 598
592, 512, 0, 723, 558, 541, 412, 294, 653, 341, 516, 603, 23, 90
253, 351, 723, 0, 164, 1240, 739, 529, 745, 383, 652, 869, 706, 789
201, 258, 558, 164, 0, 1079, 612, 376, 665, 219, 539, 764, 542, 624
1059, 957, 541, 1240, 1079, 0, 629, 828, 862, 871, 1000, 706, 563, 515
503, 395, 412, 739, 612, 629, 0, 600, 259, 487, 864, 197, 425, 492
505, 477, 294, 529, 376, 828, 600, 0, 782, 197, 265, 796, 271, 315
492, 407, 653, 745, 665, 862, 259, 782, 0, 622, 1045, 181, 662, 739
310, 281, 341, 383, 219, 871, 487, 197, 622, 0, 435, 670, 323, 405
715, 712, 516, 652, 539, 1000, 864, 265, 1045, 435, 0, 1060, 494, 498
619, 518, 603, 869, 764, 706, 197, 796, 181, 670, 1060, 0, 618, 679
583, 505, 23, 706, 542, 563, 425, 271, 662, 323, 494, 618, 0, 93
674, 598, 90, 789, 624, 515, 492, 315, 739, 405, 498, 679, 93, 0
