11
0, 387, 280, 383, 249, 327, 1044, 595, 667, 748, 712
387, 0, 254, 196, 418, 603, 1003, 891, 615, 804, 718
280, 254, 0, 392, 458, 594, 1187, 872, 792, 936, 872
383, 196, 392, 0, 290, 482, 811, 758, 420, 609, 521
249, 418, 458, 290, 0, 192, 796, 475, 428, 499, 463
327, 603, 594, 482, 192, 0, 826, 288, 518, 496, 505
1044, 1003, 1187, 811, 796, 826, 0, 862, 394, 336, 332
595, 891, 872, 758, 475, 288, 862, 0, 669, 535, 601
667, 615, 792, 420, 428, 518, 394, 669, 0, 241, 127
748, 804, 936, 609, 499, 496, 336, 535, 241, 0, 115
712, 718, 872, 521, 463, 505, 332, 601, 127, 115, 0
