11
0, 181, 472, 233, 301, 373, 319, 534, 436, 537, 630
181, 0, 417, 397, 436, 235, 490, 468, 297, 505, 801
472, 417, 0, 689, 445, 247, 589, 65, 238, 99, 830
233, 397, 689, 0, 371, 607, 281, 753, 670, 740, 535
301, 436, 445, 371, 0, 508, 152, 506, 555, 452, 401
373, 235, 247, 607, 508, 0, 616, 275, 63, 346, 909
319, 490, 589, 281, 152, 616, 0, 653, 670, 604, 310
534, 468, 65, 753, 506, 275, 653, 0, 251, 101, 888
436, 297, 238, 670, 555, 63, 670, 251, 0, 336, 957
537, 505, 99, 740, 452, 346, 604, 101, 336, 0, 815
630, 801, 830, 535, 401, 909, 310, 888, 957, 815, 0
