13
0, 791, 266, 211, 233, 235, 1168, 891, 852, 927, 591, 769, 840
791, 0, 528, 832, 773, 584, 731, 109, 814, 767, 199, 136, 985
266, 528, 0, 374, 342, 147, 1005, 632, 792, 832, 329, 503, 850
211, 832, 374, 0, 67, 254, 1064, 919, 689, 781, 641, 845, 645
233, 773, 342, 67, 0, 208, 999, 858, 634, 722, 587, 793, 606
235, 584, 147, 254, 208, 0, 941, 678, 672, 727, 390, 590, 711
1168, 731, 1005, 1064, 999, 941, 0, 675, 485, 355, 794, 867, 699
891, 109, 632, 919, 858, 678, 675, 0, 824, 761, 303, 221, 1011
852, 814, 792, 689, 634, 672, 485, 824, 0, 130, 752, 923, 221
927, 767, 832, 781, 722, 727, 355, 761, 130, 0, 738, 888, 346
591, 199, 329, 641, 587, 390, 794, 303, 752, 738, 0, 211, 889
769, 136, 503, 845, 793, 590, 867, 221, 923, 888, 211, 0, 1080
840, 985, 850, 645, 606, 711, 699, 1011, 221, 346, 889, 1080, 0
