15
0, 229, 594, 608, 693, 407, 145, 62, 834, 563, 275, 330, 704, 411, 310
229, 0, 514, 725, 596, 635, 200, 262, 981, 493, 128, 105, 858, 459, 197
594, 514, 0, 533, 104, 834, 449, 561, 794, 35, 386, 545, 717, 298, 318
608, 725, 533, 0, 610, 529, 531, 546, 273, 505, 641, 817, 183, 292, 591
693, 596, 104, 610, 0, 938, 548, 663, 861, 139, 470, 614, 794, 398, 406
407, 635, 834, 529, 938, 0, 479, 375, 628, 799, 649, 737, 507, 547, 653
145, 200, 449, 531, 548, 479, 0, 121, 783, 418, 170, 301, 658, 289, 180
62, 262, 561, 546, 663, 375, 121, 0, 772, 529, 279, 366, 643, 357, 300
834, 981, 794, 273, 861, 628, 783, 772, 0, 769, 907, 1078, 131, 565, 861
563, 493, 35, 505, 139, 799, 418, 529, 769, 0, 364, 530, 688, 264, 296
275, 128, 386, 641, 470, 649, 170, 279, 907, 364, 0, 184, 790, 358, 70
330, 105, 545, 817, 614, 737, 301, 366, 1078, 530, 184, 0, 956, 540, 250
704, 858, 717, 183, 794, 507, 658, 643, 131, 688, 790, 956, 0, 461, 748
411, 459, 298, 292, 398, 547, 289, 357, 565, 264, 358, 540, 461, 0, 302
310, 197, 318, 591, 406, 653, 180, 300, 861, 296, 70, 250, 748, 302, 0
