14
0, 835, 541, 317, 972, 490, 592, 234, 671, 536, 1130, 385, 710, 376
835, 0, 359, 647, 515, 358, 362, 904, 940, 346, 366, 1019, 151, 846
541, 359, 0, 294, 467, 93, 387, 559, 605, 26, 592, 662, 309, 486
317, 647, 294, 0, 665, 296, 547, 266, 436, 302, 875, 372, 565, 212
972, 515, 467, 665, 0, 555, 787, 909, 679, 485, 383, 950, 606, 764
490, 358, 93, 296, 555, 0, 304, 546, 662, 70, 641, 667, 270, 504
592, 362, 387, 547, 787, 304, 0, 742, 957, 361, 727, 888, 212, 757
234, 904, 559, 266, 909, 546, 742, 0, 466, 565, 1141, 156, 807, 178
671, 940, 605, 436, 679, 662, 957, 466, 0, 627, 1025, 394, 914, 296
536, 346, 26, 302, 485, 70, 361, 565, 627, 0, 594, 673, 287, 500
1130, 366, 592, 875, 383, 641, 727, 1141, 1025, 594, 0, 1222, 515, 1034
385, 1019, 662, 372, 950, 667, 888, 156, 394, 673, 1222, 0, 934, 188
710, 151, 309, 565, 606, 270, 212, 807, 914, 287, 515, 934, 0, 774
376, 846, 486, 212, 764, 504, 757, 178, 296, 500, 1034, 188, 774, 0
