15
0, 523, 485, 795, 516, 890, 397, 811, 603, 750, 482, 323, 342, 138, 779
523, 0, 109, 278, 146, 443, 209, 288, 665, 304, 594, 535, 239, 634, 307
485, 109, 0, 318, 50, 418, 262, 355, 556, 274, 488, 442, 272, 610, 296
795, 278, 318, 0, 305, 251, 472, 89, 787, 188, 754, 745, 512, 911, 140
516, 146, 50, 305, 0, 377, 313, 353, 529, 235, 470, 441, 322, 644, 263
890, 443, 418, 251, 377, 0, 652, 335, 693, 143, 699, 743, 677, 1021, 138
397, 209, 262, 472, 313, 652, 0, 458, 739, 512, 642, 535, 54, 478, 516
811, 288, 355, 89, 353, 335, 458, 0, 859, 275, 817, 794, 503, 919, 229
603, 665, 556, 787, 529, 693, 739, 859, 0, 621, 121, 280, 711, 724, 675
750, 304, 274, 188, 235, 143, 512, 275, 621, 0, 605, 627, 535, 879, 54
482, 594, 488, 754, 470, 699, 642, 817, 121, 605, 0, 159, 609, 604, 657
323, 535, 442, 745, 441, 743, 535, 794, 280, 627, 159, 0, 493, 445, 673
342, 239, 272, 512, 322, 677, 54, 503, 711, 535, 609, 493, 0, 425, 544
138, 634, 610, 911, 644, 1021, 478, 919, 724, 879, 604, 445, 425, 0, 906
779, 307, 296, 140, 263, 138, 516, 229, 675, 54, 657, 673, 544, 906, 0
