13
0, 819, 577, 360, 531, 109, 344, 62, 90, 548, 577, 501, 428
819, 0, 395, 630, 309, 847, 732, 757, 851, 713, 737, 495, 402
577, 395, 0, 271, 346, 649, 367, 525, 643, 762, 795, 549, 338
360, 630, 271, 0, 449, 457, 102, 325, 444, 733, 767, 571, 376
531, 309, 346, 449, 0, 544, 542, 469, 551, 448, 478, 222, 102
109, 847, 649, 457, 544, 0, 450, 132, 23, 472, 498, 468, 445
344, 732, 367, 102, 542, 450, 0, 325, 433, 787, 821, 645, 462
62, 757, 525, 325, 469, 132, 325, 0, 121, 514, 545, 449, 366
90, 851, 643, 444, 551, 23, 433, 121, 0, 493, 520, 483, 451
548, 713, 762, 733, 448, 472, 787, 514, 493, 0, 34, 227, 424
577, 737, 795, 767, 478, 498, 821, 545, 520, 34, 0, 256, 457
501, 495, 549, 571, 222, 468, 645, 449, 483, 227, 256, 0, 214
428, 402, 338, 376, 102, 445, 462, 366, 451, 424, 457, 214, 0
