12
0, 671, 359, 263, 665, 316, 943, 648, 603, 257, 219, 465
671, 0, 875, 407, 553, 359, 644, 284, 73, 831, 459, 652
359, 875, 0, 525, 600, 538, 884, 945, 822, 109, 455, 333
263, 407, 525, 0, 535, 68, 777, 420, 339, 454, 70, 443
665, 553, 600, 535, 0, 475, 290, 788, 550, 631, 507, 267
316, 359, 538, 68, 475, 0, 710, 416, 295, 479, 99, 410
943, 644, 884, 777, 290, 710, 0, 922, 674, 921, 764, 552
648, 284, 945, 420, 788, 416, 922, 0, 248, 872, 490, 812
603, 73, 822, 339, 550, 295, 674, 248, 0, 772, 394, 619
257, 831, 109, 454, 631, 479, 921, 872, 772, 0, 387, 372
219, 459, 455, 70, 507, 99, 764, 490, 394, 387, 0, 386
465, 652, 333, 443, 267, 410, 552, 812, 619, 372, 386, 0
