30
0, 546, 150, 59, 698, 588, 679, 902, 693, 720, 593, 518, 382, 530, 725, 713, 497, 821, 957, 506, 985, 341, 784, 275, 589, 256, 801, 628, 459, 248
546, 0, 532, 553, 421, 389, 325, 666, 184, 305, 546, 706, 337, 449, 183, 302, 207, 775, 475, 482, 477, 336, 240, 412, 48, 510, 332, 761, 664, 438
150, 532, 0, 209, 590, 476, 590, 774, 701, 760, 453, 368, 465, 402, 715, 634, 541, 674, 983, 371, 924, 247, 770, 380, 567, 109, 733, 478, 309, 361
59, 553, 209, 0, 738, 630, 712, 949, 688, 702, 645, 577, 352, 578, 727, 741, 481, 877, 942, 557, 1005, 381, 787, 238, 597, 312, 825, 687, 518, 207
698, 421, 590, 738, 0, 114, 108, 248, 560, 711, 248, 503, 701, 212, 493, 169, 617, 392, 810, 262, 431, 357, 509, 725, 398, 497, 262, 495, 496, 736
588, 389, 476, 630, 114, 0, 158, 327, 554, 693, 177, 412, 628, 108, 502, 224, 566, 386, 825, 159, 517, 249, 530, 637, 379, 383, 332, 423, 396, 645
679, 325, 590, 712, 108, 158, 0, 342, 454, 607, 329, 570, 628, 266, 385, 67, 528, 499, 702, 317, 360, 344, 401, 666, 297, 511, 174, 578, 553, 681
902, 666, 774, 949, 248, 327, 342, 0, 792, 947, 334, 569, 948, 372, 715, 382, 865, 285, 1017, 404, 535, 571, 718, 964, 639, 669, 434, 510, 588, 972
693, 184, 701, 688, 560, 554, 454, 792, 0, 158, 720, 890, 393, 626, 92, 409, 230, 938, 290, 662, 463, 520, 136, 500, 176, 690, 388, 943, 849, 532
720, 305, 760, 702, 711, 693, 607, 947, 158, 0, 852, 997, 363, 755, 246, 565, 223, 1080, 244, 785, 606, 618, 275, 482, 315, 770, 545, 1061, 951, 516
593, 546, 453, 645, 248, 177, 329, 334, 720, 852, 0, 259, 731, 98, 675, 397, 700, 250, 998, 90, 678, 301, 706, 713, 544, 345, 502, 249, 263, 713
518, 706, 368, 577, 503, 412, 570, 569, 890, 997, 259, 0, 785, 304, 865, 636, 807, 363, 1179, 254, 929, 379, 906, 727, 719, 278, 744, 113, 59, 715
382, 337, 465, 352, 701, 628, 628, 948, 393, 363, 731, 785, 0, 637, 461, 624, 163, 981, 607, 645, 809, 434, 519, 120, 384, 515, 668, 875, 728, 154
530, 449, 402, 578, 212, 108, 266, 372, 626, 755, 98, 304, 637, 0, 585, 331, 602, 345, 907, 51, 626, 213, 619, 625, 450, 300, 440, 324, 288, 627
725, 183, 715, 727, 493, 502, 385, 715, 92, 246, 675, 865, 461, 585, 0, 333, 301, 880, 323, 625, 372, 510, 60, 560, 151, 689, 300, 908, 829, 590
713, 302, 634, 741, 169, 224, 67, 382, 409, 565, 397, 636, 624, 331, 333, 0, 509, 561, 644, 382, 300, 387, 342, 673, 267, 561, 109, 645, 617, 692
497, 207, 541, 481, 617, 566, 528, 865, 230, 223, 700, 807, 163, 602, 301, 509, 0, 944, 461, 622, 659, 430, 358, 273, 248, 561, 534, 883, 756, 306
821, 775, 674, 877, 392, 386, 499, 285, 938, 1080, 250, 363, 981, 345, 880, 561, 944, 0, 1200, 339, 790, 551, 900, 962, 765, 566, 648, 268, 404, 961
957, 475, 983, 942, 810, 825, 702, 1017, 290, 244, 998, 1179, 607, 907, 323, 644, 461, 1200, 0, 946, 563, 810, 301, 726, 461, 978, 584, 1228, 1139, 760
506, 482, 371, 557, 262, 159, 317, 404, 662, 785, 90, 254, 645, 51, 625, 382, 622, 339, 946, 0, 677, 212, 662, 623, 486, 265, 490, 282, 237, 623
985, 477, 924, 1005, 431, 517, 360, 535, 463, 606, 678, 929, 809, 626, 372, 300, 659, 790, 563, 677, 0, 678, 331, 889, 428, 858, 193, 926, 914, 914
341, 336, 247, 381, 357, 249, 344, 571, 520, 618, 301, 379, 434, 213, 510, 387, 430, 551, 810, 212, 678, 0, 559, 412, 358, 185, 486, 453, 332, 414
784, 240, 770, 787, 509, 530, 401, 718, 136, 275, 706, 906, 519, 619, 60, 342, 358, 900, 301, 662, 331, 559, 0, 619, 203, 741, 290, 944, 872, 650
275, 412, 380, 238, 725, 637, 666, 964, 500, 482, 713, 727, 120, 625, 560, 673, 273, 962, 726, 623, 889, 412, 619, 0, 461, 449, 732, 826, 668, 34
589, 48, 567, 597, 398, 379, 297, 639, 176, 315, 544, 719, 384, 450, 151, 267, 248, 765, 461, 486, 428, 358, 203, 461, 0, 538, 287, 768, 680, 487
256, 510, 109, 312, 497, 383, 511, 669, 690, 770, 345, 278, 515, 300, 689, 561, 561, 566, 978, 265, 858, 185, 741, 449, 538, 0, 665, 381, 219, 436
801, 332, 733, 825, 262, 332, 174, 434, 388, 545, 502, 744, 668, 440, 300, 109, 534, 648, 584, 490, 193, 486, 290, 732, 287, 665, 0, 751, 726, 754
628, 761, 478, 687, 495, 423, 578, 510, 943, 1061, 249, 113, 875, 324, 908, 645, 883, 268, 1228, 282, 926, 453, 944, 826, 768, 381, 751, 0, 170, 816
459, 664, 309, 518, 496, 396, 553, 588, 849, 951, 263, 59, 728, 288, 829, 617, 756, 404, 1139, 237, 914, 332, 872, 668, 680, 219, 726, 170, 0, 656
248, 438, 361, 207, 736, 645, 681, 972, 532, 516, 713, 715, 154, 627, 590, 692, 306, 961, 760, 623, 914, 414, 650, 34, 487, 436, 754, 816, 656, 0
