11
0, 132, 357, 329, 44, 645, 269, 95, 322, 325, 753
132, 0, 284, 386, 142, 651, 374, 122, 391, 215, 698
357, 284, 0, 335, 328, 434, 435, 399, 668, 414, 414
329, 386, 335, 0, 286, 350, 157, 423, 616, 599, 569
44, 142, 328, 286, 0, 601, 237, 137, 362, 349, 717
645, 651, 434, 350, 601, 0, 502, 728, 955, 832, 332
269, 374, 435, 157, 237, 502, 0, 362, 497, 586, 723
95, 122, 399, 423, 137, 728, 362, 0, 270, 252, 809
322, 391, 668, 616, 362, 955, 497, 270, 0, 436, 1073
325, 215, 414, 599, 349, 832, 586, 252, 436, 0, 810
753, 698, 414, 569, 717, 332, 723, 809, 1073, 810, 0
