11
0, 537, 730, 199, 243, 691, 19, 529, 349, 597, 549
537, 0, 452, 372, 316, 251, 555, 98, 521, 181, 566
730, 452, 0, 535, 630, 241, 738, 358, 462, 628, 326
199, 372, 535, 0, 178, 495, 211, 343, 237, 477, 403
243, 316, 630, 178, 0, 519, 262, 337, 415, 354, 567
691, 251, 241, 495, 519, 0, 705, 184, 534, 409, 483
19, 555, 738, 211, 262, 705, 0, 544, 348, 616, 549
529, 98, 358, 343, 337, 184, 544, 0, 452, 279, 475
349, 521, 462, 237, 415, 534, 348, 452, 0, 668, 204
597, 181, 628, 477, 354, 409, 616, 279, 668, 0, 739
549, 566, 326, 403, 567, 483, 549, 475, 204, 739, 0
