12
0, 496, 761, 452, 430, 155, 904, 435, 319, 181, 781, 195
496, 0, 429, 437, 68, 341, 436, 303, 182, 466, 386, 348
761, 429, 0, 862, 469, 630, 654, 329, 547, 817, 106, 565
452, 437, 862, 0, 393, 390, 639, 638, 338, 282, 824, 483
430, 68, 469, 393, 0, 275, 490, 289, 114, 399, 437, 290
155, 341, 630, 390, 275, 0, 755, 320, 166, 198, 640, 99
904, 436, 654, 639, 490, 755, 0, 711, 589, 818, 553, 780
435, 303, 329, 638, 289, 320, 711, 0, 299, 518, 370, 241
319, 182, 547, 338, 114, 166, 589, 299, 0, 288, 531, 206
181, 466, 817, 282, 399, 198, 818, 518, 288, 0, 814, 292
781, 386, 106, 824, 437, 640, 553, 370, 531, 814, 0, 588
195, 348, 565, 483, 290, 99, 780, 241, 206, 292, 588, 0
