25
0, 844, 597, 991, 331, 792, 318, 577, 813, 802, 812, 380, 125, 716, 433, 149, 910, 379, 586, 837, 680, 380, 78, 666, 153
844, 0, 922, 654, 1015, 608, 690, 319, 282, 625, 386, 700, 856, 419, 858, 768, 797, 669, 1149, 729, 278, 666, 912, 1100, 724
597, 922, 0, 623, 374, 445, 834, 614, 708, 442, 632, 284, 476, 541, 164, 462, 433, 312, 286, 399, 646, 313, 577, 181, 671
991, 654, 623, 0, 937, 203, 1052, 539, 376, 197, 281, 630, 916, 319, 691, 847, 231, 621, 910, 227, 459, 618, 1019, 782, 965
331, 1015, 374, 937, 0, 737, 643, 702, 890, 740, 850, 340, 218, 746, 248, 279, 786, 365, 259, 733, 781, 368, 273, 369, 467
792, 608, 445, 203, 737, 0, 877, 402, 334, 18, 232, 426, 713, 195, 492, 645, 194, 418, 730, 120, 354, 415, 816, 617, 776
318, 690, 834, 1052, 643, 877, 0, 531, 769, 892, 809, 560, 425, 737, 678, 387, 1039, 541, 888, 958, 635, 541, 393, 943, 176
577, 319, 614, 539, 702, 402, 531, 0, 243, 419, 278, 381, 562, 221, 540, 473, 592, 350, 830, 512, 106, 347, 635, 788, 491
813, 282, 708, 376, 890, 334, 769, 243, 0, 350, 104, 550, 783, 167, 685, 696, 517, 524, 967, 453, 136, 521, 865, 889, 734
802, 625, 442, 197, 740, 18, 892, 419, 350, 0, 248, 434, 722, 213, 494, 655, 176, 427, 727, 103, 372, 425, 825, 611, 789
812, 386, 632, 281, 850, 232, 809, 278, 104, 248, 0, 510, 766, 103, 629, 683, 413, 488, 902, 350, 183, 485, 856, 812, 752
380, 700, 284, 630, 340, 426, 560, 381, 550, 434, 510, 0, 288, 406, 163, 230, 529, 32, 451, 458, 447, 34, 393, 432, 410
125, 856, 476, 916, 218, 713, 425, 562, 783, 722, 766, 288, 0, 665, 313, 89, 813, 295, 465, 745, 657, 298, 106, 540, 249
716, 419, 541, 319, 746, 195, 737, 221, 167, 213, 103, 406, 665, 0, 528, 584, 389, 385, 805, 314, 159, 382, 758, 723, 665
433, 858, 164, 691, 248, 492, 678, 540, 685, 494, 629, 163, 313, 528, 0, 300, 538, 195, 290, 484, 596, 197, 416, 275, 511
149, 768, 462, 847, 279, 645, 387, 473, 696, 655, 683, 230, 89, 584, 300, 0, 760, 229, 504, 687, 569, 231, 174, 556, 214
910, 797, 433, 231, 786, 194, 1039, 592, 517, 176, 413, 529, 813, 389, 538, 760, 0, 532, 712, 82, 548, 531, 920, 571, 919
379, 669, 312, 621, 365, 418, 541, 350, 524, 427, 488, 32, 295, 385, 195, 229, 532, 0, 483, 458, 418, 3, 398, 463, 396
586, 1149, 286, 910, 259, 730, 888, 830, 967, 727, 902, 451, 465, 805, 290, 504, 712, 483, 0, 684, 885, 485, 532, 160, 711
837, 729, 399, 227, 733, 120, 958, 512, 453, 103, 350, 458, 745, 314, 484, 687, 82, 458, 684, 0, 472, 457, 851, 554, 841
680, 278, 646, 459, 781, 354, 635, 106, 136, 372, 183, 447, 657, 159, 596, 569, 548, 418, 885, 472, 0, 415, 735, 825, 598
380, 666, 313, 618, 368, 415, 541, 347, 521, 425, 485, 34, 298, 382, 197, 231, 531, 3, 485, 457, 415, 0, 400, 465, 397
78, 912, 577, 1019, 273, 816, 393, 635, 865, 825, 856, 393, 106, 758, 416, 174, 920, 398, 532, 851, 735, 400, 0, 626, 231
666, 1100, 181, 782, 369, 617, 943, 788, 889, 611, 812, 432, 540, 723, 275, 556, 571, 463, 160, 554, 825, 465, 626, 0, 770
153, 724, 671, 965, 467, 776, 176, 491, 734, 789, 752, 410, 249, 665, 511, 214, 919, 396, 711, 841, 598, 397, 231, 770, 0
