13
0, 799, 808, 816, 1041, 677, 723, 129, 775, 924, 636, 963, 1178
799, 0, 401, 291, 385, 376, 483, 804, 511, 128, 214, 178, 456
808, 401, 0, 681, 779, 716, 831, 748, 871, 475, 279, 532, 819
816, 291, 681, 0, 226, 168, 231, 866, 241, 301, 435, 287, 373
1041, 385, 779, 226, 0, 387, 414, 1085, 397, 310, 585, 260, 155
677, 376, 716, 168, 387, 0, 114, 742, 158, 432, 442, 433, 539
723, 483, 831, 231, 414, 114, 0, 804, 54, 525, 556, 517, 570
129, 804, 748, 866, 1085, 742, 804, 0, 857, 932, 619, 976, 1213
775, 511, 871, 241, 397, 158, 54, 857, 0, 541, 599, 528, 552
924, 128, 475, 301, 310, 432, 525, 932, 541, 0, 337, 57, 347
636, 214, 279, 435, 585, 442, 556, 619, 599, 337, 0, 391, 669
963, 178, 532, 287, 260, 433, 517, 976, 528, 57, 391, 0, 289
1178, 456, 819, 373, 155, 539, 570, 1213, 552, 347, 669, 289, 0
