12
0, 526, 286, 170, 796, 551, 607, 632, 607, 432, 852, 301
526, 0, 265, 571, 366, 620, 137, 728, 833, 278, 645, 230
286, 265, 0, 305, 512, 445, 323, 551, 614, 174, 630, 52
170, 571, 305, 0, 767, 406, 616, 475, 437, 390, 747, 344
796, 366, 512, 767, 0, 593, 229, 676, 842, 377, 388, 511
551, 620, 445, 406, 593, 0, 572, 108, 249, 341, 392, 495
607, 137, 323, 616, 229, 572, 0, 675, 806, 253, 526, 307
632, 728, 551, 475, 676, 108, 675, 0, 187, 449, 419, 602
607, 833, 614, 437, 842, 249, 806, 187, 0, 559, 606, 666
432, 278, 174, 390, 377, 341, 253, 449, 559, 0, 457, 204
852, 645, 630, 747, 388, 392, 526, 419, 606, 457, 0, 661
301, 230, 52, 344, 511, 495, 307, 602, 666, 204, 661, 0
