11
0, 376, 217, 726, 420, 520, 124, 401, 788, 196, 527
376, 0, 461, 400, 376, 399, 405, 469, 510, 422, 420
217, 461, 0, 708, 623, 409, 340, 617, 944, 413, 407
726, 400, 708, 0, 756, 363, 787, 863, 687, 816, 382
420, 376, 623, 756, 0, 752, 331, 130, 437, 277, 770
520, 399, 409, 363, 752, 0, 624, 814, 881, 680, 23
124, 405, 340, 787, 331, 624, 0, 287, 737, 73, 634
401, 469, 617, 863, 130, 814, 287, 0, 558, 217, 830
788, 510, 944, 687, 437, 881, 737, 558, 0, 700, 905
196, 422, 413, 816, 277, 680, 73, 217, 700, 0, 692
527, 420, 407, 382, 770, 23, 634, 830, 905, 692, 0
