11
0, 1054, 133, 645, 1019, 892, 781, 728, 579, 87, 838
1054, 0, 947, 754, 96, 199, 722, 396, 694, 1117, 921
133, 947, 0, 636, 906, 776, 765, 604, 554, 171, 715
645, 754, 636, 0, 782, 710, 137, 690, 102, 733, 1160
1019, 96, 906, 782, 0, 130, 767, 325, 713, 1077, 829
892, 199, 776, 710, 130, 0, 716, 198, 630, 948, 734
781, 722, 765, 137, 767, 716, 0, 734, 211, 868, 1242
728, 396, 604, 690, 325, 198, 734, 0, 595, 776, 572
579, 694, 554, 102, 713, 630, 211, 595, 0, 666, 1057
87, 1117, 171, 733, 1077, 948, 868, 776, 666, 0, 824
838, 921, 715, 1160, 829, 734, 1242, 572, 1057, 824, 0
