12
0, 542, 699, 341, 707, 874, 932, 503, 446, 589, 670, 662
542, 0, 207, 667, 214, 378, 610, 467, 474, 536, 410, 231
699, 207, 0, 738, 8, 178, 430, 672, 681, 736, 299, 84
341, 667, 738, 0, 744, 882, 798, 813, 763, 904, 566, 669
707, 214, 8, 744, 0, 170, 426, 678, 688, 742, 300, 87
874, 378, 178, 882, 170, 0, 369, 831, 846, 887, 361, 218
932, 610, 430, 798, 426, 369, 0, 1071, 1066, 1145, 261, 379
503, 467, 672, 813, 678, 831, 1071, 0, 63, 92, 843, 697
446, 474, 681, 763, 688, 846, 1066, 63, 0, 143, 831, 698
589, 536, 736, 904, 742, 887, 1145, 92, 143, 0, 924, 768
670, 410, 299, 566, 300, 361, 261, 843, 831, 924, 0, 216
662, 231, 84, 669, 87, 218, 379, 697, 698, 768, 216, 0
