13
0, 272, 309, 218, 296, 434, 422, 505, 324, 526, 673, 348, 364
272, 0, 193, 249, 494, 672, 678, 731, 529, 484, 634, 457, 598
309, 193, 0, 134, 595, 595, 624, 636, 626, 672, 824, 602, 522
218, 249, 134, 0, 514, 462, 490, 507, 542, 677, 830, 553, 389
296, 494, 595, 514, 0, 552, 495, 636, 35, 429, 536, 156, 509
434, 672, 595, 462, 552, 0, 84, 84, 552, 930, 1063, 688, 74
422, 678, 624, 490, 495, 84, 0, 157, 491, 891, 1019, 639, 117
505, 731, 636, 507, 636, 84, 157, 0, 636, 1010, 1145, 771, 141
324, 529, 626, 542, 35, 552, 491, 636, 0, 452, 552, 178, 513
526, 484, 672, 677, 429, 930, 891, 1010, 452, 0, 152, 273, 870
673, 634, 824, 830, 536, 1063, 1019, 1145, 552, 152, 0, 382, 1007
348, 457, 602, 553, 156, 688, 639, 771, 178, 273, 382, 0, 637
364, 598, 522, 389, 509, 74, 117, 141, 513, 870, 1007, 637, 0
