20
0, 796, 918, 384, 276, 721, 187, 513, 758, 634, 328, 597, 486, 634, 208, 649, 79, 367, 174, 838
796, 0, 238, 417, 864, 130, 610, 731, 606, 982, 496, 330, 908, 1045, 944, 286, 812, 560, 881, 55
918, 238, 0, 576, 1039, 366, 732, 706, 487, 943, 665, 337, 903, 1016, 1093, 519, 951, 754, 964, 190
384, 417, 576, 0, 463, 337, 207, 531, 610, 760, 90, 322, 639, 799, 527, 287, 394, 205, 497, 464
276, 864, 1039, 463, 0, 757, 363, 777, 987, 911, 374, 763, 763, 908, 160, 637, 197, 311, 436, 915
721, 130, 366, 337, 757, 0, 542, 743, 672, 994, 402, 363, 902, 1050, 850, 155, 727, 447, 827, 185
187, 610, 732, 207, 363, 542, 0, 440, 623, 627, 179, 419, 489, 650, 368, 489, 222, 272, 291, 651
513, 731, 706, 531, 777, 743, 440, 0, 312, 251, 572, 402, 200, 315, 718, 780, 589, 693, 424, 743
758, 606, 487, 610, 987, 672, 623, 312, 0, 491, 685, 320, 502, 571, 966, 767, 824, 812, 712, 595
634, 982, 943, 760, 911, 994, 627, 251, 491, 0, 786, 653, 148, 80, 812, 1023, 713, 897, 488, 993
328, 496, 665, 90, 374, 402, 179, 572, 685, 786, 0, 410, 656, 817, 449, 320, 325, 127, 465, 545
597, 330, 337, 322, 763, 363, 419, 402, 320, 653, 410, 0, 586, 717, 788, 447, 642, 528, 628, 340
486, 908, 903, 639, 763, 902, 489, 200, 502, 148, 656, 586, 0, 161, 666, 914, 565, 761, 342, 925
634, 1045, 1016, 799, 908, 1050, 650, 315, 571, 80, 817, 717, 161, 0, 799, 1070, 711, 922, 475, 1058
208, 944, 1093, 527, 160, 850, 368, 718, 966, 812, 449, 788, 666, 799, 0, 748, 146, 426, 324, 992
649, 286, 519, 287, 637, 155, 489, 780, 767, 1023, 320, 447, 914, 1070, 748, 0, 640, 326, 780, 340
79, 812, 951, 394, 197, 727, 222, 589, 824, 713, 325, 642, 565, 711, 146, 640, 0, 335, 244, 858
367, 560, 754, 205, 311, 447, 272, 693, 812, 897, 127, 528, 761, 922, 426, 326, 335, 0, 528, 613
174, 881, 964, 497, 436, 827, 291, 424, 712, 488, 465, 628, 342, 475, 324, 780, 244, 528, 0, 917
838, 55, 190, 464, 915, 185, 651, 743, 595, 993, 545, 340, 925, 1058, 992, 340, 858, 613, 917, 0
