12
0, 874, 210, 505, 455, 38, 793, 682, 791, 1100, 782, 557
874, 0, 871, 375, 666, 841, 99, 331, 183, 403, 599, 571
210, 871, 0, 499, 304, 188, 778, 613, 831, 1021, 636, 427
505, 375, 499, 0, 349, 471, 288, 226, 344, 619, 474, 311
455, 666, 304, 349, 0, 418, 566, 355, 685, 735, 334, 127
38, 841, 188, 471, 418, 0, 759, 644, 762, 1062, 744, 520
793, 99, 778, 288, 566, 759, 0, 234, 210, 397, 512, 472
682, 331, 613, 226, 355, 644, 234, 0, 412, 417, 293, 245
791, 183, 831, 344, 685, 762, 210, 412, 0, 585, 704, 619
1100, 403, 1021, 619, 735, 1062, 397, 417, 585, 0, 480, 608
782, 599, 636, 474, 334, 744, 512, 293, 704, 480, 0, 225
557, 571, 427, 311, 127, 520, 472, 245, 619, 608, 225, 0
