13
0, 287, 360, 210, 346, 253, 183, 303, 161, 892, 126, 291, 464
287, 0, 164, 313, 80, 106, 368, 201, 338, 712, 385, 119, 211
360, 164, 0, 276, 221, 109, 493, 95, 462, 558, 480, 70, 120
210, 313, 276, 0, 393, 216, 393, 184, 370, 725, 325, 234, 396
346, 80, 221, 393, 0, 186, 394, 276, 366, 741, 429, 192, 228
253, 106, 109, 216, 186, 0, 384, 101, 353, 664, 371, 39, 212
183, 368, 493, 393, 394, 384, 0, 460, 30, 1047, 103, 423, 576
303, 201, 95, 184, 276, 101, 460, 0, 430, 590, 429, 84, 214
161, 338, 462, 370, 366, 353, 30, 430, 0, 1017, 103, 393, 546
892, 712, 558, 725, 741, 664, 1047, 590, 1017, 0, 1018, 626, 513
126, 385, 480, 325, 429, 371, 103, 429, 103, 1018, 0, 411, 579
291, 119, 70, 234, 192, 39, 423, 84, 393, 626, 411, 0, 176
464, 211, 120, 396, 228, 212, 576, 214, 546, 513, 579, 176, 0
