12
0, 619, 536, 666, 441, 761, 167, 678, 444, 347, 355, 245
619, 0, 107, 634, 1012, 822, 584, 273, 205, 510, 760, 557
536, 107, 0, 662, 948, 844, 485, 348, 183, 403, 719, 453
666, 634, 662, 0, 771, 190, 782, 407, 487, 869, 455, 825
441, 1012, 948, 771, 0, 756, 587, 982, 812, 777, 320, 666
761, 822, 844, 190, 756, 0, 900, 597, 665, 1012, 471, 953
167, 584, 485, 782, 587, 900, 0, 709, 452, 189, 521, 80
678, 273, 348, 407, 982, 597, 709, 0, 260, 702, 681, 712
444, 205, 183, 487, 812, 665, 452, 260, 0, 446, 555, 452
347, 510, 403, 869, 777, 1012, 189, 702, 446, 0, 685, 111
355, 760, 719, 455, 320, 471, 521, 681, 555, 685, 0, 593
245, 557, 453, 825, 666, 953, 80, 712, 452, 111, 593, 0
