15
0, 654, 844, 1103, 845, 84, 337, 659, 997, 939, 64, 763, 719, 520, 1043
654, 0, 357, 604, 704, 622, 353, 195, 504, 392, 716, 786, 69, 216, 535
844, 357, 0, 870, 1059, 844, 639, 549, 789, 662, 908, 1141, 366, 332, 807
1103, 604, 870, 0, 514, 1037, 770, 469, 107, 214, 1151, 705, 549, 815, 68
845, 704, 1059, 514, 0, 763, 600, 509, 465, 536, 870, 196, 696, 835, 501
84, 622, 844, 1037, 763, 0, 284, 605, 932, 881, 114, 679, 684, 514, 979
337, 353, 639, 770, 600, 284, 0, 322, 663, 602, 392, 590, 409, 317, 709
659, 195, 549, 469, 509, 605, 322, 0, 362, 282, 714, 606, 190, 368, 403
997, 504, 789, 107, 465, 932, 663, 362, 0, 127, 1046, 647, 453, 713, 48
939, 392, 662, 214, 536, 881, 602, 282, 127, 0, 993, 700, 335, 606, 147
64, 716, 908, 1151, 870, 114, 392, 714, 1046, 993, 0, 774, 781, 585, 1093
763, 786, 1141, 705, 196, 679, 590, 606, 647, 700, 774, 0, 795, 875, 687
719, 69, 366, 549, 696, 684, 409, 190, 453, 335, 781, 795, 0, 281, 481
520, 216, 332, 815, 835, 514, 317, 368, 713, 606, 585, 875, 281, 0, 747
1043, 535, 807, 68, 501, 979, 709, 403, 48, 147, 1093, 687, 481, 747, 0
