11
0, 512, 124, 452, 559, 341, 364, 649, 631, 78, 393
512, 0, 628, 192, 565, 624, 459, 994, 813, 464, 183
124, 628, 0, 545, 577, 307, 471, 557, 590, 199, 517
452, 192, 545, 0, 372, 462, 541, 824, 624, 432, 292
559, 565, 577, 372, 0, 304, 820, 551, 282, 593, 633
341, 624, 307, 462, 304, 0, 685, 371, 289, 404, 600
364, 459, 471, 541, 820, 685, 0, 1014, 965, 288, 276
649, 994, 557, 824, 551, 371, 1014, 0, 300, 726, 968
631, 813, 590, 624, 282, 289, 965, 300, 0, 692, 839
78, 464, 199, 432, 593, 404, 288, 726, 692, 0, 328
393, 183, 517, 292, 633, 600, 276, 968, 839, 328, 0
