11
0, 744, 309, 809, 729, 707, 783, 116, 718, 479, 805
744, 0, 744, 507, 249, 561, 39, 855, 556, 273, 303
309, 744, 0, 606, 626, 476, 779, 379, 923, 547, 912
809, 507, 606, 0, 258, 143, 515, 918, 1010, 577, 807
729, 249, 626, 258, 0, 324, 258, 845, 769, 367, 549
707, 561, 476, 143, 324, 0, 578, 811, 1009, 561, 845
783, 39, 779, 515, 258, 578, 0, 895, 576, 313, 308
116, 855, 379, 918, 845, 811, 895, 0, 781, 587, 898
718, 556, 923, 1010, 769, 1009, 576, 781, 0, 449, 309
479, 273, 547, 577, 367, 561, 313, 587, 449, 0, 365
805, 303, 912, 807, 549, 845, 308, 898, 309, 365, 0
