14
0, 592, 843, 78, 378, 757, 821, 570, 631, 34, 407, 765, 90, 711
592, 0, 438, 670, 568, 184, 244, 718, 81, 623, 456, 292, 682, 133
843, 438, 0, 916, 593, 508, 323, 615, 358, 878, 484, 152, 918, 351
78, 670, 916, 0, 421, 833, 899, 601, 710, 47, 467, 841, 21, 790
378, 568, 593, 421, 0, 751, 714, 204, 556, 405, 121, 580, 413, 632
757, 184, 508, 833, 751, 0, 205, 894, 207, 786, 638, 358, 847, 163
821, 244, 323, 899, 714, 205, 0, 816, 189, 854, 593, 188, 909, 112
570, 718, 615, 601, 204, 894, 816, 0, 689, 593, 271, 652, 589, 754
631, 81, 358, 710, 556, 207, 189, 689, 0, 664, 439, 211, 720, 81
34, 623, 878, 47, 405, 786, 854, 593, 664, 0, 439, 799, 63, 744
407, 456, 484, 467, 121, 638, 593, 271, 439, 439, 0, 460, 464, 513
765, 292, 152, 841, 580, 358, 188, 652, 211, 799, 460, 0, 847, 199
90, 682, 918, 21, 413, 847, 909, 589, 720, 63, 464, 847, 0, 800
711, 133, 351, 790, 632, 163, 112, 754, 81, 744, 513, 199, 800, 0
